player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Jonas Gade NIELSEN,LTH,Lemvig-Thyborøn Håndbold,1185.0,29,HB,False,NORMAL,170.0
Jesper KOKHOLM,LTH,Lemvig-Thyborøn Håndbold,1143.9,28,HF,False,NORMAL,128.9
Jørgen RASMUSSEN,LTH,Lemvig-Thyborøn Håndbold,1119.7,26,VF,False,NORMAL,80.0
Mark NIKOLAJSEN,LTH,Lemvig-Thyborøn Håndbold,1107.9,26,PL,False,NORMAL,92.9
Mads THYMANN,LTH,Lemvig-Thyborøn Håndbold,1085.4,27,VB,False,NORMAL,70.4
Rasmus PORUP,LTH,Lemvig-Thyborøn Håndbold,1081.9,26,PL,False,NORMAL,66.9
Andreas DAMGAARD,LTH,Lemvig-Thyborøn Håndbold,1072.8,27,PL,False,NORMAL,57.8
Emil SIDELMANN,LTH,Lemvig-Thyborøn Håndbold,1064.1999999999998,9,VF,False,NORMAL,16.6
Anders AGGER,LTH,Lemvig-Thyborøn Håndbold,1060.4,8,ST,False,NORMAL,11.7
Jacob ØSTERGAARD,LTH,Lemvig-Thyborøn Håndbold,1053.3,12,ST,False,NORMAL,12.8
Mathias PORSHOLDT,LTH,Lemvig-Thyborøn Håndbold,1044.8,17,ST,False,NORMAL,29.8
Michael Krohn THØGERSEN,LTH,Lemvig-Thyborøn Håndbold,1031.5,10,HF,False,NORMAL,16.5
Casper CHRISTENSEN,LTH,Lemvig-Thyborøn Håndbold,1019.5,4,VB,False,NORMAL,4.5
Mads Byskov Høj JENSEN,LTH,Lemvig-Thyborøn Håndbold,1018.8,5,HB,False,NORMAL,3.8
Jesper SØRENSEN,LTH,Lemvig-Thyborøn Håndbold,1018.6,4,MV,True,NORMAL,3.6
